Node_ID Node_Label
1 "ATXN3 gene"
2 Extraction
3 polyglutamine
4 "Therapeutic procedure"
5 "Ophthalmic examination and evaluation"
6 "Transcranial Direct Current Stimulation"
7 "Cholinergic Agents"
8 "Surgical and medical procedures"
9 "reproductive guidance"
10 "Prophylactic treatment"
11 "Phenylalanine-free diet"
12 "Physical Medical Procedure"
13 "Reconstructive Surgical Procedures"
14 Phenylalanine
15 "Congenital disorder of glycosylation type 1A"
16 "Zellweger Syndrome"
17 "Machado-Joseph Disease"
18 "Myasthenic Syndromes, Congenital"
19 "Myotonic Dystrophy"
20 "Hyperphenylalaninemia, BH4-Deficient, B"
21 "EPILEPSY, PYRIDOXINE-DEPENDENT"
22 "succinic semialdehyde dehydrogenase deficiency"
23 "Leigh Disease"
24 "Early Diagnosis"
25 "Genetic Counseling"
26 MicroRNAs
27 "Screening procedure"
28 "rapid diagnosis"
29 Transferrin
30 "Prenatal Diagnosis"
31 "Short Tandem Repeat"
32 "In Vivo NMR Spectroscopy"
33 Leucovorin
34 "Toxic effect"
35 "Urinary tract infection"
36 Teratogenesis
37 "Abnormal mental state"
38 "Brain Injuries"
39 "Phenylketonuria, Maternal"
40 "Mental disorders"
41 "Mental Retardation"
42 Malnutrition
43 Ataxia
44 Family
45 "Homo sapiens"
46 "Japanese race"
47 Infant
48 Patients
49 Offspring
50 glycosylation
51 "Male child"
52 Sibling
53 Child
54 Adult
55 "Female child"
56 Osteopenia
57 Disease
58 "Congenital Disorders"
59 "Rare Diseases"
60 Syndrome
61 Symptoms
62 "Metabolic Diseases"
63 "Hereditary Diseases"
64 "Neurological observations"
65 
66 
67 
68 
69 
70 
71 
72 Mus
73 "Infant, Newborn"
74 "Infant Death"
75 "Abnormal neuronal migration"
76 "Kabuki make-up syndrome"
77 "Infantile Refsum Disease (disorder)"
78 "Peroxisomal Disorders"
79 "Adrenoleukodystrophy, Neonatal"
80 "Congenital anomaly of central nervous system"
81 "Peroxisome biogenesis disorders"
82 "Signs and Symptoms"
83 "Autosomal recessive hereditary disorder"
84 Diagnosis
85 Animals
86 "C57BL/6 Mouse"
87 "community worker"
88 "Mice, Knockout"
89 Diptera
90 "Transgenic Model"
91 Primates
92 "Gene Mutation"
93 Descent
94 World
95 cohort
96 Participant
97 Asians
98 Persons
99 Phasis
100 Zebrafish
101 "Animal Model"
102 member
103 "Disease model"
104 "Australian aborigine"
105 "Control Groups"
106 "Mouse Model"
107 "Mice, Transgenic"
108 "Portuguese population"
109 aborigines
110 "Caucasoid Race"
111 Woman
112 Author
113 "Meleagris gallopavo"
114 Sister
115 Cattle
116 "Newborn (finding)"
117 "Proximal muscle weakness"
118 Paralysed
119 "Slow channel syndrome"
120 Weakness
121 "Recurrent apneic attacks"
122 Challenge
123 "Sudden infant death syndrome"
124 "Sign or Symptom"
125 "Neuromuscular Diseases"
126 "neuromuscular transmission"
127 "nuclear mRNA cis splicing, via spliceosome"
128 "Infant, Premature"
129 Brothers
130 "Elderly (population group)"
131 Daughter
132 Descendent
133 "Animal Disease Models"
134 "Respiratory physiology"
135 Quail
136 Jews
137 Physicians
138 "Subgroup A Nepoviruses"
139 "Male population group"
140 "House mice"
141 "Horse under one year old"
142 "Paternal grandfather"
143 "Western European"
144 "Pancreatic secretory response"
145 
146 
147 
148 
149 
150 
151 
152 
153 
154 
155 
156 
157 
158 "First cousin"
159 "Recurrent seizures"
160 "Epileptic encephalopathy"
161 Epilepsy
162 "Convulsions in the newborn"
163 Seizures
164 Metabolism
165 Uncertainty
166 
167 
168 
169 
170 
171 
172 
173 
174 
175 
176 
177 
178 
179 
180 
181 "American Staffordshire Terrier"
182 Caregiver
183 "mendelian inheritance"
184 "Older sister"
185 "Older brother"
186 "Yorkshire terrier"
187 "Mitochondrial mutation"
188 "Adolescents, Female"
189 Neuroradiologist
190 "Canis familiaris"
191 "Age Cohort"
